元素,原子量,丰度
H,1,0
He,2,0
Li,7,9.2
Be,9,9.5
B,11,10
C,12,0
N,14,0
O,16,10
F,19,15
Ne,20,14
Na,23,7.1
Mg,24,3.8
Al,27,3.6
Si,28,4.4
P,31,10
S,32,13
Cl,35.5,15
Ar,40,6
K,39,7.7
Ca,40,7.1
Sc,45,8.6
Ti,49,5
V,51,5.1
Cr,52,7.6
Mn,55,9.6
Fe,56,2.7
Co,59,6.6
Ni,59,5.1
Cu,64,11
Zn,65,4.4
Ga,70,6.9
Ge,73,9.6
As,75,12
Se,79,6.4
Br,80,19
Kr,84,18
Rb,85,6.6
Sr,88,8.1
Y,89,6
Zr,91,6.4
Nb,93,1.4
Mo,96,5.5
Ru,101,5.4
Rh,103,8
Pd,106,6.6
Ag,108,2.9
Cd,112,6.5
In,115,6.4
Sn,119,9.4
Sb,122,18
Te,128,10
I,127,21
Xe,131,20
Cs,133,5.6
Ba,137,6.3
La,139,2
Ce,140,1.7
Pr,141,2.4
Nd,144,1.3
Sm,150,1.3
Eu,152,1.6
Gd,157,1.4
Tb,159,2.2
Dy,163,1.4
Ho,165,2.4
Er,167,1.3
Tm,169,1.3
Yb,173,1.6
Lu,175,1.3
Hf,178.5,1.9
Ta,181,1.8
W,184,5.1
Re,186,9.4
Os,190,6.3
Ir,192,6.1
Pt,195,7.4
Au,197,15
Hg,200,12
Tl,204,9.4
Pb,207,7.8
Bi,209,8.2
Th,232,5.7
U,238,8.4
