Country Name,Country Code,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
安哥拉,AGO,,190.4958566,130.7658999,169.219689,201.0490568,269.311637,323.0967302,411.5237963,391.773411,402.0748872,391.8011392,571.3993798,553.5796757,594.3187692,635.0578627,675.7969563,521.8052873,541.476552,458.7669101,433.7091824,636.0132367,541.837949,668.5755842,66.83796954,95.35127761,26.23567761,186.6541546,184.3222133,260.367973,269.475148,164.4919316,207.366817,265.4681061,559.032752,663.2984469,676.2380844,918.1081771,1245.073452,1377.582592,1288.338923,1755.075744,1742.400607,2285.740639,2733.049877,3053.728146,3470.102913,3119.03307,2633.77617,2866.864672,2000.546817,1700.318461
阿拉伯联盟国家,ARB,,921.5119822,713.3755043,1208.947305,1325.617586,1123.851413,1166.642142,1303.788374,1548.677956,1539.777131,1403.111825,1281.419956,1395.791935,1398.334323,1294.26707,1256.682791,1213.946693,1184.130939,1188.228143,1168.753145,1153.189694,1583.074345,1522.421679,1648.834735,1615.579637,1586.145369,1672.244229,1791.056671,1874.40982,1832.131007,1897.74166,2018.760594,2002.56557,1994.567966,2152.120039,2444.873843,2821.900181,3312.373376,3843.07781,4645.852754,4091.544422,4626.368996,5243.437992,5755.909627,5888.120585,5929.568985,5293.105604,5133.770812,5057.364876,5334.416279,5378.721447
澳大利亚,AUS,,2680.851329,2831.504529,3252.89277,3952.89697,5336.531985,5796.651066,6201.113215,6339.85968,6744.219108,7449.092078,8196.059095,9711.145123,10252.37433,9364.851608,10055.74119,9116.699158,9072.3934,9279.551599,11438.41297,14146.54648,14189.85738,14643.44627,14467.12964,13967.01804,14442.86219,16063.75036,17321.85371,18611.96641,16962.59859,16334.36491,17058.27974,15451.39914,15990.97604,18734.05992,24240.35872,26511.18834,27847.64937,31260.10413,37805.48079,33347.38232,40233.32563,48283.02595,53474.85056,53920.03703,48738.74797,44352.13785,39137.30036,42036.79642,44300.56228,42151.08638
贝宁,BEN,,87.00120537,106.4046015,127.917606,154.3890835,166.7243983,196.7646541,195.3755788,205.4866948,246.6101961,307.4116147,353.5185463,317.5647797,296.9178429,244.8564141,222.1688606,217.7652562,272.59033,306.1852176,309.840322,270.4026926,341.5698996,334.2075748,261.0599459,342.9198522,219.9536459,287.5835768,298.7697061,282.0342323,298.9449377,446.8303142,418.5107667,426.388242,473.6923304,586.9966401,666.2122994,693.1042007,719.8259224,811.138848,942.8110954,902.7453338,860.4628794,948.051914,967.1574311,1076.575143,1115.485829,930.8888584,938.7206171,974.0879168,1076.952733,1058.616792
巴西,BRA,,407.9288078,464.1254052,538.8915909,705.838395,912.0408786,1038.962979,1248.749605,1411.125152,1556.705468,1689.364161,1691.960666,1841.381286,1899.046407,1325.670251,1330.094044,1378.710287,1651.749172,1798.418148,1982.323343,2791.691416,2727.706926,3547.205703,2336.768697,2495.847411,3066.896449,4304.627409,4632.163426,4706.405906,4477.421459,3020.605634,3305.514725,2775.614542,2477.707494,2691.499171,3164.054686,4165.015354,5140.645876,6428.444161,7651.161384,7607.405429,9774.813616,11492.06823,10786.69029,10878.54601,10674.81531,7831.53981,7743.61781,8818.872255,7850.803551,7628.82845
加拿大,CAN,,3442.455489,3789.007853,4292.237823,4877.41212,5767.535881,6215.921399,7300.170569,7350.309905,7498.928279,8004.236059,8842.457115,9916.571198,10018.82009,10835.21681,11205.01496,11442.65218,11816.08594,13161.24673,15227.41602,16653.16249,17217.1914,17675.87098,16782.11953,16228.00653,16059.64157,16626.96693,17026.14156,17608.7235,16843.16009,17922.20103,19538.26541,19043.5962,19643.24146,22964.1503,26105.6419,29581.92812,33140.42539,36608.77133,37863.16074,33001.14175,38702.43447,42587.82827,42991.13599,43034.90412,41604.74549,35337.87785,34316.45145,36962.09055,37739.01968,37829.48274
哥伦比亚,COL,,276.5129493,294.7528427,321.0252135,377.9179709,436.1646376,451.8689487,524.1711733,666.9585546,789.4520057,919.4171027,1078.325464,1143.853214,1189.838603,1131.642234,1080.239342,950.8545951,941.9957474,932.368534,1010.228117,961.3426045,1142.974397,1189.781924,1409.6232,1600.025418,1958.631034,2158.258623,2181.434504,2355.494263,2150.638828,1788.239471,2008.139401,1983.743973,1942.027326,1819.338753,2203.831482,2729.364334,2974.870505,3784.968133,4306.188931,4209.64158,5034.04873,5644.120518,6272.776682,6468.771521,6508.656398,5177.347028,4967.750722,5308.529444,5501.390053,5246.157424
德国,DEU,,2398.506334,2757.519364,3282.538314,4350.983683,4827.999014,5307.14427,5662.003972,6549.164318,8115.511214,9603.214235,10276.11239,8553.766733,8266.368319,8257.313855,7829.718116,7938.391763,11333.8057,14000.74589,15186.93704,15083.03562,18934.21789,19668.17799,22186.41377,21283.62897,22531.04345,26437.67888,25448.29909,22431.5825,22614.6136,22102.87419,19500.55125,19430.56032,20511.70251,24728.89044,28411.43884,28838.944,30768.1856,35119.0026,37932.47784,34720.87677,34850.28687,39513.83916,36963.30735,38937.20954,40302.29319,34695.28567,35623.01738,37528.60732,40263.99041,39093.19963
西班牙,ESP,,1052.52666,1186.886737,1502.919613,1989.00576,2432.415841,2812.251053,2861.299022,3161.495066,3798.082501,5014.677398,5349.223533,4555.82184,4360.545156,3747.418223,3749.522832,3964.015629,5565.284924,7077.377538,8324.657971,9235.846783,11959.28908,12859.56867,13979.83349,11560.24968,11425.81474,13409.31102,13856.90743,12701.32607,13285.79134,13612.95445,12745.99469,13202.59999,14656.52802,18506.70168,21336.08293,22501.43548,24010.20956,27342.8271,29478.21114,26732.56093,25461.52653,26178.40863,23567.27636,24230.44814,24654.43032,21695.62314,22460.5297,23859.44776,25799.04103,25055.29563
芬兰,FIN,,2137.893209,2331.777291,2722.306182,3559.935217,4481.946423,5229.751761,5605.992183,5796.104274,6254.733551,7740.970615,9262.690642,8941.341642,8947.928339,8545.407183,8840.973243,9305.618563,12247.00477,15131.77464,17980.99888,19230.12883,22301.93954,19436.22011,16722.71182,13110.86105,15458.38237,20756.4482,20573.77699,20045.52635,21136.24946,21501.63179,20018.50628,20684.98185,22351.1636,26996.79794,31444.93233,32316.59683,34285.91628,40123.12372,44029.87944,38635.32528,38271.33986,41749.21656,38731.30501,40448.51591,41116.27337,35090.67717,35774.37333,37786.27051,40882.39227,39812.05707
加纳,GHA,,191.8190608,238.5374869,204.9263288,234.0795656,266.9893611,251.0358307,242.9693074,278.806837,316.6545899,337.5643451,356.3715623,334.0104193,316.3076523,303.951462,312.7457568,303.9682809,376.312035,322.1849353,321.5423329,316.9743899,346.117437,374.1578685,354.6583717,315.5643395,276.4806081,326.093562,336.4949604,328.0098022,347.6955685,350.1990944,214.2373579,226.7896606,255.8229742,313.845418,356.2974711,423.3782544,788.8109174,937.5295485,1059.258378,935.8837724,1095.757181,1220.078422,1239.559337,1934.398196,1588.048228,1455.686158,1627.167944,1657.982549,1801.557466,1832.489588
洪都拉斯,HND,,101.3926874,243.2988289,259.517117,283.822392,310.4091423,331.6298956,378.7964214,454.743301,815.713094,893.339083,963.7288345,956.0722589,958.5570182,987.2178382,1050.621104,1102.2536,1150.991348,1218.502161,1117.529724,995.9546687,862.934498,792.8627695,816.1040284,816.8798579,749.1840023,835.3840134,792.1879174,861.8696853,933.8322445,920.9570918,991.3813639,1036.077435,1032.724775,1049.161857,1091.544156,1172.947863,1276.112611,1439.789566,1575.805475,1603.463963,1680.16539,1850.08479,1873.151543,1826.030964,1893.146775,2014.43849,2030.51659,2154.354201,2156.47373,2235.501124
