HDI rank,Country,1990,2000,2010,2013,2015,2016,2017,2018
1,Norway,0.85,0.917,0.942,0.946,0.948,0.951,0.953,0.954
2,Switzerland,0.832,0.889,0.932,0.938,0.943,0.943,0.943,0.946
3,Ireland,0.764,0.857,0.89,0.908,0.926,0.936,0.939,0.942
4,Germany,0.801,0.869,0.92,0.927,0.933,0.936,0.938,0.939
4,"Hong Kong, China (SAR)",0.781,0.827,0.901,0.916,0.927,0.931,0.936,0.939
6,Australia,0.866,0.898,0.926,0.926,0.933,0.935,0.937,0.938
6,Iceland,0.804,0.861,0.892,0.92,0.927,0.932,0.935,0.938
8,Sweden,0.816,0.897,0.906,0.927,0.932,0.934,0.935,0.937
9,Singapore,0.718,0.818,0.909,0.923,0.929,0.933,0.934,0.935
10,Netherlands,0.83,0.876,0.911,0.924,0.927,0.929,0.932,0.933
11,Denmark,0.799,0.863,0.91,0.926,0.926,0.928,0.929,0.93
12,Finland,0.784,0.858,0.903,0.916,0.919,0.922,0.924,0.925
13,Canada,0.85,0.868,0.895,0.91,0.917,0.92,0.921,0.922
14,New Zealand,0.82,0.87,0.899,0.907,0.914,0.917,0.92,0.921
15,United Kingdom,0.775,0.867,0.905,0.914,0.916,0.918,0.919,0.92
15,United States,0.86,0.881,0.911,0.914,0.917,0.919,0.919,0.92
17,Belgium,0.806,0.873,0.903,0.908,0.913,0.915,0.917,0.919
18,Liechtenstein,..,0.862,0.904,0.912,0.912,0.915,0.916,0.917
19,Japan,0.816,0.855,0.885,0.9,0.906,0.91,0.913,0.915
20,Austria,0.795,0.838,0.895,0.896,0.906,0.909,0.912,0.914
21,Luxembourg,0.79,0.86,0.893,0.892,0.899,0.904,0.908,0.909
22,Israel,0.792,0.853,0.887,0.895,0.901,0.902,0.904,0.906
22,Korea (Republic of),0.728,0.817,0.882,0.893,0.899,0.901,0.904,0.906
24,Slovenia,0.829,0.824,0.881,0.884,0.886,0.892,0.899,0.902
25,Spain,0.754,0.825,0.865,0.875,0.885,0.888,0.891,0.893
26,Czechia,0.73,0.796,0.862,0.874,0.882,0.885,0.888,0.891
26,France,0.78,0.842,0.872,0.882,0.888,0.887,0.89,0.891
28,Malta,0.744,0.787,0.847,0.861,0.877,0.881,0.883,0.885
29,Italy,0.769,0.83,0.871,0.873,0.875,0.878,0.881,0.883
30,Estonia,0.73,0.78,0.844,0.863,0.871,0.875,0.879,0.882
31,Cyprus,0.731,0.799,0.85,0.854,0.864,0.869,0.871,0.873
32,Greece,0.753,0.796,0.857,0.858,0.868,0.866,0.871,0.872
32,Poland,0.712,0.785,0.835,0.851,0.858,0.864,0.868,0.872
34,Lithuania,0.732,0.755,0.824,0.84,0.855,0.86,0.866,0.869
35,United Arab Emirates,0.723,0.782,0.821,0.839,0.86,0.863,0.864,0.866
36,Andorra,..,0.759,0.828,0.846,0.85,0.854,0.852,0.857
36,Saudi Arabia,0.698,0.744,0.81,0.846,0.857,0.857,0.856,0.857
36,Slovakia,0.739,0.763,0.829,0.844,0.849,0.851,0.854,0.857
39,Latvia,0.698,0.728,0.817,0.834,0.842,0.845,0.849,0.854
40,Portugal,0.711,0.785,0.822,0.837,0.843,0.846,0.848,0.85
