Country Name,Country Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
安哥拉,AGO,4806741,4960706,5121984,5290801,5468248,5655486,5838598,6033482,6240408,6459622,6691044,6917424,7158186,7414108,7685303,7971743,8257189,8560730,8879695,9211974,9556361,9898462,10252532,10621492,11004723,11402381,11804734,12223456,12659938,13116712,13415460
阿拉伯联盟国家,ARB,60854058,62826504,64195987,66700847,69228120,71874987,73807051,75747060,77608512,80510807,82317116,83835256,85129972,88108274,91235773,94564987,98204587,101811217,104906526,108039366,112368462,115087534,118470958,121788457,124020056,126356221,128930502,130003951,131676748,134425264,133947057
澳大利亚,AUS,8475893,8524976,8601726,8634061,8799677,9006036,9132954,9193437,9291229,9380756,9567850,9750034,9906614,10093366,10217131,10531732,10778084,10941713,11234490,11475961,11664656,11832782,11998883,12177653,12320637,12556562,12718524,12976329,13249617,13504175,13481621
贝宁,BEN,1947748,2014551,2087438,2164152,2243407,2323886,2394635,2467343,2542712,2621882,2705727,2790770,2881278,2978736,3079953,3184049,3282301,3383679,3488763,3598159,3712416,3825604,3942161,4063769,4189856,4320200,4451938,4588876,4730774,4877483,4985420
巴西,BRA,59178068,60632288,62503270,64406417,66380999,68438752,68225692,70787349,72687381,75014919,77377185,79670542,82226244,83821485,86393585,88870707,89980224,91126146,92409809,94205652,94040209,93794015,94871140,96095664,97184947,98729764,99749646,101501800,102576163,104376954,96539743
加拿大,CAN,14746930,14812002,14793920,14881272,15018804,15123399,15269856,15511971,15759602,16045919,16311911,16594438,17078583,17472797,17680867,17821886,18030705,18379605,18667574,18799155,19001081,19147395,19322866,19546552,19629145,19747709,19955331,20218270,20396697,20788261,20492683
哥伦比亚,COL,14125114,14471080,14869031,15307185,15768345,16229382,16605692,17038063,17408972,17643499,18071395,18485766,18594245,19221667,19187151,19416752,19720231,19577933,20142417,21482206,22287035,22936897,23642905,23895273,24346029,24918312,25273396,25756727,26125205,26284990,24826218
德国,DEU,38750231,39906285,39705995,39658638,39676486,39479387,39579720,39718192,39766710,39979495,39835215,40000504,40045540,40245929,40052833,41232898,41686001,41856167,41910272,41974586,41963382,41720726,41825064,42181439,42438398,42654597,43551192,43789062,43884544,44351163,44120268
西班牙,ESP,15103328,15154952,15874925,16108539,16436211,16566474,16832905,17150120,17402215,17717611,18252859,18190944,19076333,19864092,20552732,21371099,22025436,22641673,23279862,23513311,23657167,23726989,23761805,23539701,23308362,23250566,23185921,23094352,23129730,23320287,22986373
芬兰,FIN,2623064,2581373,2536887,2514816,2494328,2527858,2465253,2510624,2530381,2566138,2586118,2608246,2623353,2620803,2611527,2633966,2661292,2687636,2717142,2691752,2684521,2695888,2702445,2687746,2690267,2700148,2694717,2716173,2749120,2755452,2746821
加纳,GHA,6394047,6594051,6780720,6973372,7167471,7360399,7539430,7715323,7892960,8079239,8277620,8478581,8695052,8924229,9161159,9402919,9654681,9910741,10170347,10433208,10697599,10940077,11183023,11426904,11672257,11920081,12217714,12524927,12839627,13159208,13364617
洪都拉斯,HND,1768388,1821613,1887082,1955691,2019729,2093400,2164696,2241672,2319701,2394253,2420116,2479124,2541221,2605133,2669122,2732602,2740849,2786673,2905042,3059061,3214166,3197958,3225010,3568374,3764382,3870926,3933053,4105648,4351344,4238924,4089919
伊拉克,IRQ,4026931,4154859,4281382,4440120,4604928,4767296,4943168,5106940,5281564,5460655,5644809,5821082,6005060,6189655,6365398,6527913,6650093,6757432,6854442,6978770,7144371,7423495,7742672,8304576,8889023,9291728,9620473,9631305,9968680,10242316,10368723
意大利,ITA,23569057,24143359,23293807,23166857,22980714,22849374,22981454,23060999,23241916,23413641,23490236,23604084,23881110,24227695,24594682,24435666,24489833,24449163,24794412,24602873,24554256,24564738,25125842,25291021,25695578,25660847,25927768,26090152,26142141,25875327,25137672
利比亚,LBY,1213473,1258953,1308116,1359398,1410388,1459646,1506946,1551340,1594497,1638969,1686229,1735599,1787325,1839822,1890725,1938331,1980895,2020092,2055340,2086174,2112536,2127174,2137675,2146672,2157704,2173488,2201903,2236944,2276671,2318129,2337057
卢森堡,LUX,157978,165513,172838,171994,173657,169317,171787,174463,177006,182796,188883,192612,198166,198587,204752,210313,214827,219328,224437,237941,240901,246570,258424,268168,278629,285694,287185,296867,306235,316967,324616
毛里求斯,MUS,446919,454233,461500,467883,475670,481386,485898,492978,499689,507034,512062,515671,517528,524881,532487,542302,542498,540516,547340,554425,566754,563792,571357,586129,593005,601140,597302,603691,600941,609711,594823
尼日利亚,NGA,31787602,32625016,33503976,34424333,35384609,36383806,37336353,38335446,39374850,40447932,41549406,42586341,43663607,44782051,45940926,47143645,48313048,49544711,50833525,52173885,53563331,54954440,54004475,52957798,54348205,55815157,57266041,58814727,60448885,62151626,62259271
巴拿马,PAN,904720,934461,986302,1039804,1073778,1122321,1149701,1176772,1203980,1231569,1272092,1312304,1354097,1388887,1429580,1465868,1476460,1505542,1575326,1621058,1592299,1593844,1675626,1728666,1756843,1797766,1839592,1864998,1948244,2037201,1836789
