"Data Source","世界发展指标",

"Last Updated Date","2022-02-15",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"阿鲁巴","ABW","专利申请，非居民","IP.PAT.NRES","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"","AFE","专利申请，非居民","IP.PAT.NRES","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5963","","","7649","","","","","","","6997","","","","","","",
"阿富汗","AFG","专利申请，非居民","IP.PAT.NRES","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"","AFW","专利申请，非居民","IP.PAT.NRES","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"安哥拉","AGO","专利申请，非居民","IP.PAT.NRES","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","114","108","",
"阿尔巴尼亚","ALB","专利申请，非居民","IP.PAT.NRES","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9","","","","120","238","391","","386","","","","361","","8","","4","3","5","5","8","3","1","",
"安道尔共和国","AND","专利申请，非居民","IP.PAT.NRES","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","6","10","12","",
"阿拉伯联盟国家","ARB","专利申请，非居民","IP.PAT.NRES","","","","","","","","","","","","","","","","","","","","","1948","1862","","1725","","","","","","1202","","","1499","1815","1780","2081","2131","","3318","","2428","2073","1892","1746","1946","2891","","4738","","","4874","6324","","6387","6135","7830","6829","9801","9589","10462","",
"阿拉伯联合酋长国","ARE","专利申请，非居民","IP.PAT.NRES","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1325","1331","1408","1443","1738","","1748","1727","1846","",
"阿根廷","ARG","专利申请，非居民","IP.PAT.NRES","","","","","","","","","","","","","","","","","","","","","3063","3321","2793","2443","2656","","","","","","1955","1851","1919","2261","2820","3588","4012","5035","5459","5558","5574","5088","4143","3765","3816","4215","4597","4806","4781","4336","4165","4133","4078","4129","4173","3579","2925","3050","3242","3260","",
"亚美尼亚","ARM","专利申请，非居民","IP.PAT.NRES","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30","79","98","154","121","8","16","8","15","7","6","","2","1","5","4","11","6","19","4","6","2","2","1","3","4","4","",
"美属萨摩亚","ASM","专利申请，非居民","IP.PAT.NRES","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"安提瓜和巴布达","ATG","专利申请，非居民","IP.PAT.NRES","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8","7","7","15","10","12","8","5","","",
"澳大利亚","AUS","专利申请，非居民","IP.PAT.NRES","","","","","","","","","","","","","","","","","","","","","9354","9807","9572","9529","10212","","","","","","","","","","","12277","13221","15398","16063","17960","20073","20548","20181","19176","20274","21302","23166","24122","23525","21187","22478","23143","23731","26656","23968","26314","25774","26403","27200","27121","",
"奥地利","AUT","专利申请，非居民","IP.PAT.NRES","","","","","","","","","","","","","","","","","","","","","4166","3428","2620","2322","1891","1591","1336","1272","1048","915","670","544","517","513","516","458","449","397","349","341","340","284","329","213","266","235","378","287","329","292","249","276","294","244","271","236","237","232","168","208","",
"阿塞拜疆","AZE","专利申请，非居民","IP.PAT.NRES","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30","17","","","","","10","7","18","7","6","13","8","7","17","17","12","","","","","19","22","16","20","",
"布隆迪","BDI","专利申请，非居民","IP.PAT.NRES","","","","","","","","","","","","","","","","","","","","","10","5","2","2","7","","2","","","1","3","","2","1","4","1","4","","","","","","","","","","","","","","","","","","","","","","","","",
"比利时","BEL","专利申请，非居民","IP.PAT.NRES","","","","","","","","","","","","","","","","","","","","","5104","3918","2944","2261","1966","1476","1334","889","776","663","613","574","499","679","446","355","310","269","249","249","243","264","147","188","122","105","161","163","133","148","140","127","127","161","137","148","119","216","218","257","",
"贝宁","BEN","专利申请，非居民","IP.PAT.NRES","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"布基纳法索","BFA","专利申请，非居民","IP.PAT.NRES","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"孟加拉国","BGD","专利申请，非居民","IP.PAT.NRES","","","","","","","","","","","","","","","","","","","","","102","133","104","123","104","96","77","98","109","76","76","77","89","71","89","156","131","119","184","200","248","236","246","260","268","294","288","270","278","275","276","269","287","243","249","299","267","241","299","345","",
"保加利亚","BGR","专利申请，非居民","IP.PAT.NRES","","","","","","","","","","","","","","","","","","","","","804","871","717","728","738","248","211","311","253","267","331","326","351","152","531","363","407","538","524","616","709","785","735","680","133","52","48","28","22","24","17","21","14","15","16","11","11","23","18","7","",
"巴林","BHR","专利申请，非居民","IP.PAT.NRES","","","","","","","","","","","","","","","","","","","","","47","28","41","28","65","16","20","","","","","","31","","","","","","","","","","","","","","","","","","","139","161","167","199","185","171","237","219","322","",
"巴哈马","BHS","专利申请，非居民","IP.PAT.NRES","","","","","","","","","","","","","","","","","","","","","","51","50","","38","42","37","","32","","25","27","29","","","","","","","","","","","","","","","","","","","","83","75","113","68","34","48","","","",
"波斯尼亚和黑塞哥维那","BIH","专利申请，非居民","IP.PAT.NRES","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","105","242","309","","242","346","306","162","","12","","9","12","14","22","2","","6","12","12","14","",
"白俄罗斯","BLR","专利申请，非居民","IP.PAT.NRES","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","666","1005","415","361","414","79","345","204","214","379","298","200","296","337","257","220","173","174","146","190","145","105","148","66","90","94","95","",
"伯利兹","BLZ","专利申请，非居民","IP.PAT.NRES","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16","33","41","48","54","","","49","51","32","36","26","37","32","24","32","",
"百慕大","BMU","专利申请，非居民","IP.PAT.NRES","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"玻利维亚","BOL","专利申请，非居民","IP.PAT.NRES","","","","","","","","","","","","","","","","","","","","","117","120","89","70","54","41","","","","","","","","62","89","106","","","","","","","","","","","","","","","","","","","294","","241","277","","","",
"巴西","BRA","专利申请，非居民","IP.PAT.NRES","","","","","","","","","","","","","","","","","","","","","6228","6113","5562","4900","4657","4565","4413","4702","4546","4657","5148","4625","4374","4221","4228","4741","5446","13479","13546","14693","14104","14410","13204","12545","12669","14444","15886","17469","18890","18135","20771","23954","25637","25925","25683","25578","22810","20178","19877","19932","",
