Country Name,Country Code,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
安哥拉,AGO,0,13,27,14,34,64,13,34,12,3,42,1,2,1,2,4,56,2,5,15,4,12,53,12,43,54,1,2,43,12,43,32,23,51,61,72,94,145,114,108,
阿拉伯联盟国家,ARB,1948,1862,1603,1725,1504,1344,1451,1086,1473,1202,1283,1537,1499,1815,1780,2081,2131,2371,3318,2357,2428,2073,1892,1746,1946,2891,2148,4738,3561,5711,4874,6324,7415,6387,6135,7830,6829,9801,9589,10462,
澳大利亚,AUS,9354,9807,9572,9529,10212,11610,10234,11045,10245,11023,11245,11456,11245,11487,12458,12277,13221,15398,16063,17960,20073,20548,20181,19176,20274,21302,23166,24122,23525,21187,22478,23143,23731,26656,23968,26314,25774,26403,27200,27121,
贝宁,BEN,1,2,1,4,8,2,5,7,9,12,15,16,17,25,16,48,26,48,57,51,54,28,18,48,67,98,78,58,102,106,114,154,180,193,59,147,167,159,148,147,
巴西,BRA,6228,6113,5562,4900,4657,4565,4413,4702,4546,4657,5148,4625,4374,4221,4228,4741,5446,13479,13546,14693,14104,14410,13204,12545,12669,14444,15886,17469,18890,18135,20771,23954,25637,25925,25683,25578,22810,20178,19877,19932,
加拿大,CAN,22699,23267,23883,23690,24709,25482,25596,26598,28869,32060,24375,21097,22950,23307,24683,24161,24987,25238,30163,33189,35435,35753,35782,33299,32970,34705,36516,35133,37028,32410,30899,30357,30533,30174,31283,32687,30667,30969,31812,32250,
哥伦比亚,COL,335,604,684,527,471,441,404,532,420,516,548,527,575,769,867,1093,1172,1497,1670,1615,1694,432,858,1127,1365,1662,1861,1862,1818,1551,1739,1770,1848,1781,1898,1921,1658,1777,1808,1735,
德国,DEU,19900,16738,17158,15445,13225,12180,10945,9933,9332,9168,8605,7784,7404,6995,7261,8055,9511,11291,10843,9502,10406,10486,10589,10663,10786,11855,12573,13139,13177,11724,12198,12458,14720,15814,17811,19509,19419,19927,21281,20802,
西班牙,ESP,9001,8509,8555,8352,8916,9149,8581,2590,2209,2318,1079,746,561,563,537,553,524,496,476,506,484,467,371,367,313,313,316,265,252,207,213,196,209,218,225,221,177,176,149,159,
芬兰,FIN,2734,2809,2907,3178,3408,3472,3627,3941,4084,4417,4410,2671,3953,2052,1842,1733,483,250,212,343,324,270,207,215,209,229,202,211,147,127,102,124,129,141,126,127,108,139,100,75,
加纳,GHA,17,19,18,14,16,17,15,16,15,12,20,12,11,24,39,34,39,40,45,46,49,48,50,59,60,68,62,72,69,64,78,70,56,88,40,9,17,11,39,65,
洪都拉斯,HND,40,45,183,24,19,16,67,31,27,15,17,69,30,75,26,40,126,152,0,148,135,155,161,26,14,29,125,168,148,189,207,253,233,211,256,224,185,189,148,187,
伊拉克,IRQ,126,107,129,128,94,77,54,49,52,75,69,15,25,28,25,24,18,35,17,58,21,26,48,95,102,148,96,78,69,95,76,84,97,105,67,102,123,101,77,78,
意大利,ITA,9971,10254,11452,12080,10245,7851,5896,8426,8000,7833,4502,656,486,483,439,1595,1678,1786,1579,1172,1396,1789,514,478,369,789,458,870,861,903,846,927,871,905,781,957,973,1031,900,898,
利比亚,LBY,0,25,1,17,68,15,19,24,24,24,47,22,36,21,21,37,23,38,57,68,24,62,79,5,35,38,38,39,49,28,68,58,78,25,39,85,48,75,95,35,
