Country Name,Country Code,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
阿鲁巴,ABW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.07221985,29.65051079,29.05586052,26.68902016,26.75200081,26.30441093,31.68346977,30.90319061,33.91582108,35.24048996,35.36231995,37.34572983,38.72563934,37.76113129,16.19582939,16.4054203,15.27176952,15.59920979,,,,
阿尔巴尼亚,ALB,,13.90814018,14.92790985,,,,,,5.831419945,,,5.189400196,,5.926119804,6.559989929,7.025909901,7.221210003,7.326869965,7.737959862,8.148280144,8.366359711,8.855330467,9.287320137,11.1776104,10.63358021,10.20281982,10.93945026,12.69972038,13.55016994,14.74777031,15.53660965,15.90462971,16.31142998,16.65723991,19.89043999,23.18983078,26.63714027,30.68712997,32.09280014,33.38555145,44.54925156,49.87870026,59.25201035,64.63442993,65.78296661,62.00762177,58.3818512,57.3752594,54.96133041,59.7784996,57.81314087
阿拉伯联盟国家,ARB,5.964260101,5.982069969,6.234360218,6.596809864,7.001060009,7.550489902,8.215459824,8.864370346,9.308520317,9.351790428,9.695759773,10.27521038,10.64377022,10.81293964,11.08580017,11.07236958,11.36942005,11.39638042,11.38136959,11.03497028,11.0605402,10.7758503,11.4280901,12.34727955,12.9927702,13.8589201,14.78400993,15.75998974,16.53046036,17.93545914,18.18478966,18.78849983,19.60008049,19.60643005,20.77492905,21.83639908,22.34388924,22.94668007,23.70182991,24.39759064,25.06339073,24.52135086,25.88796043,27.43795013,28.61852074,30.09877014,30.75134087,31.57180023,32.93193054,33.44832993,33.35322189
阿根廷,ARG,13.24435043,15.30603027,16.48376083,19.61808014,22.74868965,26.97598076,27.07181931,24.07761955,21.3801899,22.2299099,21.73468971,23.10263062,23.82999992,24.83893013,28.6764698,35.49594879,37.42499161,39.22064972,,,,38.11911011,,,37.00133133,,,,46.96070099,48.83171844,53.96480942,59.0115509,62.74872971,65.1762619,65.48536682,63.96667099,66.96472931,66.41162872,68.05695343,70.20645905,73.23139954,76.29740143,77.44628906,78.22389984,80.99581146,84.0019989,87.21344757,89.95851898,91.6006012,95.44790649,
亚美尼亚,ARM,,,,,,,,,,,,,,,,,17.59959984,,18.79870987,20.43589973,23.20482063,25.3567009,25.34211922,23.02763939,19.12430954,19.08213997,16.93857002,22.7202301,33.5735817,35.21240997,35.54978943,33.54529953,36.14685822,37.2188797,37.88314056,39.54676819,43.11534882,45.93093872,48.48933029,51.33459091,52.989151,53.33778,46.15803146,45.73738861,47.08219147,46.52180099,51.08018875,52.25152969,54.57048035,51.48752975,50.81660843
奥地利,AUT,,12.19836998,13.66956043,15.10840034,15.99359035,16.67403984,18.5449791,19.28277969,19.72422981,20.42885017,21.36816978,22.30216026,22.46463013,22.98781013,23.94280052,25.52486038,26.70454025,27.81727028,29.37026024,30.58758926,32.5364418,34.69429016,37.61071014,39.76937866,42.26459885,44.9769516,47.49055099,49.56702042,52.39627838,,,,,,,,,63.0472908,65.88690186,68.11264801,75.6237793,78.49945068,78.93891144,79.65540314,79.15869904,80.71942139,83.45494843,85.05713654,86.68834686,86.47553253,
阿塞拜疆,AZE,,,,,,,,,,,,24.03103065,,,,,23.87731934,,25.2077198,24.48163986,24.19890976,24.75927925,25.23917007,22.22587967,19.35499954,18.38257027,18.08035088,17.58492088,,,,,,,,,19.78945923,19.36459923,19.04788971,19.05771065,19.26004028,19.64731026,20.4384594,21.44042969,23.15973091,25.48320007,25.92642021,27.06740952,27.70849991,31.54019928,35.24843979
布隆迪,BDI,,0.171700001,0.174620003,0.164120004,0.240559995,0.246690005,0.294719994,,,0.448850006,0.452030003,0.462460011,0.502030015,,0.57069999,0.589890003,0.643959999,0.626190007,0.740760028,0.741240025,0.702390015,0.787310004,0.851719975,0.959410012,,,,,0.945879996,1.044880033,1.223620057,1.198439956,1.882439971,,2.44520998,2.463219881,2.453700066,2.48913002,2.668489933,2.820329905,3.254610062,,3.069240093,3.777580023,4.546249866,5.133039951,3.681080103,3.917969942,4.057660103,3.923569918,4.968029976
比利时,BEL,,17.13532066,17.54558945,19.5174408,20.50785065,20.80525017,,,24.39678955,25.64981079,25.11825943,24.48595047,26.41571045,27.14603043,28.19136047,30.88913918,31.67756081,32.99660873,34.00875092,35.55627823,37.68367004,39.10773087,,44.85168839,47.91450882,53.43436813,55.44696045,,,57.12717056,58.16905975,58.8563385,59.38277817,59.83446121,61.02286911,61.08547974,61.65359116,61.20013046,62.08623886,65.26769257,67.82901001,69.8425293,71.1920166,72.11549377,72.99739838,74.55976105,75.89064026,79.66172791,78.90116882,80.13816833,
贝宁,BEN,,0.128769994,0.236210003,0.430500001,0.709710002,0.686320007,0.743160009,0.989759982,1.095759988,0.973290026,1.060279965,1.457069993,1.731750011,1.879169941,1.944990039,2.014159918,2.414109945,2.290469885,2.222480059,2.364039898,2.155380011,2.460309982,2.31566,2.095269918,2.144010067,2.143549919,2.112449884,2.562000036,,3.265619993,3.71152997,4.496850014,5.321829796,5.906549931,5.982850075,5.914169788,6.810860157,8.137189865,8.047260284,10.23198986,13.77511978,12.85589027,13.9552002,15.96483994,15.95351982,13.5534296,12.94939995,12.27414036,12.51698971,,
布基纳法索,BFA,,0.03754,0.04693,0.054949999,0.08602,0.101199999,0.201790005,0.183339998,0.222760007,0.229230002,0.21322,0.278349996,0.426149994,0.500909984,0.539619982,0.593140006,0.611819983,0.63894999,0.678569973,0.754429996,0.756060004,0.700980008,0.930050015,1.081940055,1.054250002,1.097779989,1.054270029,0.96924001,,0.999130011,,1.156659961,1.41178,1.601160049,,2.307339907,2.440969944,2.612190008,3.181050062,3.533740044,3.57942009,4.146520138,4.558869839,4.776750088,5.0769701,5.063829899,5.56196022,6.003399849,6.501870155,7.096129894,7.843729973
孟加拉国,BGD,2.13338995,,2.449630022,2.560559988,3.358860016,,2.798229933,3.006690025,2.390630007,3.365550041,3.245990038,3.096029997,3.801310062,4.678380013,5.044439793,5.114429951,4.984859943,4.323740005,3.718199968,3.674740076,4.208960056,,,,,,,,,5.633440018,5.631340027,6.651539803,6.344419956,6.390960217,5.889150143,6.446700096,7.361199856,7.932970047,8.884090424,10.8580904,,13.69155979,13.80099964,13.5304203,13.86507988,13.78740978,17.87435913,18.15146065,20.5650692,24.01688957,22.83039093
