Country Name,Country Code,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
安哥拉,AGO,,,,,,,,,,,,,,,,,,,0.583549976,0.548280001,0.553070009,0.545040011,0.505010009,,,,,,0.549719989,0.498290002,,,0.713360012,2.63499999,1.975739956,2.438920021,2.379820108,2.281780124,2.251544166,2.221308208,2.191072249,6.130300045,,8.838330269,,8.400939941,9.336259842,,,,
阿拉伯联盟国家,ARB,5.964260101,5.982069969,6.234360218,6.596809864,7.001060009,7.550489902,8.215459824,8.864370346,9.308520317,9.351790428,9.695759773,10.27521038,10.64377022,10.81293964,11.08580017,11.07236958,11.36942005,11.39638042,11.38136959,11.03497028,11.0605402,10.7758503,11.4280901,12.34727955,12.9927702,13.8589201,14.78400993,15.75998974,16.53046036,17.93545914,18.18478966,18.78849983,19.60008049,19.60643005,20.77492905,21.83639908,22.34388924,22.94668007,23.70182991,24.39759064,25.06339073,24.52135086,25.88796043,27.43795013,28.61852074,30.09877014,30.75134087,31.57180023,32.93193054,33.44832993,33.35322189
澳大利亚,AUS,15.81655025,17.09435081,18.38301086,19.59012985,21.81735039,23.28160095,24.07530022,24.43742943,24.78083992,25.00351906,25.15468979,25.58522987,25.64088058,26.36245918,27.00481033,27.91073036,29.51505089,29.68458939,31.49957085,32.65396118,35.35955048,38.31346893,39.70084,65.56421661,66.97921753,70.68856812,75.64778137,80.90664673,,,,,,,,,,,,,,,,,,118.6108627,120.9657135,113.1421585,107.8080521,115.9520416,
贝宁,BEN,,0.128769994,0.236210003,0.430500001,0.709710002,0.686320007,0.743160009,0.989759982,1.095759988,0.973290026,1.060279965,1.457069993,1.731750011,1.879169941,1.944990039,2.014159918,2.414109945,2.290469885,2.222480059,2.364039898,2.155380011,2.460309982,2.31566,2.095269918,2.144010067,2.143549919,2.112449884,2.562000036,,3.265619993,3.71152997,4.496850014,5.321829796,5.906549931,5.982850075,5.914169788,6.810860157,8.137189865,8.047260284,10.23198986,13.77511978,12.85589027,13.9552002,15.96483994,15.95351982,13.5534296,12.94939995,12.27414036,12.51698971,,
巴西,BRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.08415985,,18.15427971,20.69566917,23.21698952,24.49123955,25.98962975,,30.78668976,35.56209946,37.03839874,,43.45983124,45.17753983,47.05736923,50.17644882,51.32004166,50.73448944,51.57070923,53.25735092,55.13629913,
加拿大,CAN,,,,,,,48.0385704,,,,,,,,,,70.59152985,,,83.08904266,90.52835083,95.54933929,97.6102066,88.22052002,90.09745026,90.54239655,89.21376801,,59.50188065,60.2518692,59.11445999,,59.5465889,,,,,63.60005951,63.76739883,63.0657692,61.65584946,63.46731949,63.98077011,65.33229828,65.61290741,64.78695679,66.43917847,68.92250824,70.11302185,75.69882202,
哥伦比亚,COL,4.247049809,4.721310139,5.323170185,5.720880032,6.246660233,7.110620022,7.528150082,8.5353899,8.819970131,9.016619682,8.854680061,10.13027954,10.47474003,10.92078018,11.46858025,11.7568903,12.48497963,12.97144032,13.67794991,14.23342991,14.65400982,15.34537029,15.98505974,16.15122986,16.70019913,16.66974068,17.91041946,21.10671043,23.67215919,23.29743004,24.49200058,25.34746933,25.43061066,,28.1366291,30.69215965,32.69947815,33.74993896,36.07695007,37.51898956,39.41331863,43.03231049,45.30730057,48.73310852,51.41638184,53.28213882,55.48424911,56.43402863,55.32749176,54.97652054,
德国,DEU,,,,,,,,,,,,,,,,,,,,,,33.65991974,35.43257904,39.42060089,42.50059891,45.32741928,46.94253159,47.79207993,,,,,,,,,,,,,,,,61.38684082,65.50390625,67.74687195,69.58058929,70.2466507,70.34264374,73.52105713,
西班牙,ESP,,8.666270256,9.646450043,14.12903023,15.39789963,16.83543015,19.50148964,20.33963013,22.50709915,20.84601021,22.04273987,22.07073021,22.5032692,23.13824081,24.81538963,26.15633011,28.56327057,29.87708092,31.75620079,33.7125206,35.55821991,37.03936005,39.27051163,41.17985153,44.04141998,45.72900009,47.67776871,50.54774857,52.83372879,55.02772903,57.72711182,59.78372955,61.58797073,63.96755981,66.09031677,67.15335083,68.53449249,68.75184631,69.74542236,71.5843277,75.91094971,80.0379715,82.27033234,83.72563934,85.4462738,85.61177826,86.51608276,88.85301208,91.11257172,92.88234711,
芬兰,FIN,,13.12738991,13.6391201,14.27227974,15.70298004,16.92126083,27.59320068,29.33498955,30.63040924,31.24069977,31.70911026,32.10808182,32.62284851,33.36182022,31.45317078,31.92317963,34.06824875,36.04206085,38.09204865,40.97916031,44.46062851,48.88246155,52.93727112,59.36272049,63.99895096,67.40026093,70.33547974,73.39402771,79.17263794,81.38202667,82.3295517,84.31597137,84.83998108,86.94397736,89.51747131,91.67951965,93.15744781,93.75906372,94.69184113,91.29065704,93.44780731,94.9199295,92.87734985,90.9941864,88.88166046,87.67987061,86.97852325,88.1978302,90.2617569,92.95500946,
