"Data Source","世界发展指标",

"Last Updated Date","2022-02-15",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"阿鲁巴","ABW","劳动力，总数","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"","AFE","劳动力，总数","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","120062718","123616494","127344638","131230462","135250938","139513637","143464080","147504804","151728552","156127357","160735278","165218293","170011270","175026168","180141164","185438058","190268608","195131548","200215031","204903116","209816291","215450183","221609386","228600199","235625294","243451167","251079282","259113288","267049230","275388843","276248621",
"阿富汗","AFG","劳动力，总数","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3005194","3226846","3520843","3845635","4153754","4418899","4571874","4665749","4735482","4823574","4955262","5169671","5437894","5735551","6030160","6301944","6460963","6591408","6716593","6867773","7065700","7375529","7742558","8136567","8544021","8948053","9314885","9670662","10022144","10382034","9416829",
"","AFW","劳动力，总数","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","74012609","76011554","78069984","80238663","82500023","84868382","87131825","89524319","92028595","94586697","97222391","99684245","102253115","104930951","107760520","110631177","113438812","116364405","119201851","122117053","125096969","128261354","128981377","129657235","132820604","136456067","140164301","144074603","148283367","152714790","154413014",
"安哥拉","AGO","劳动力，总数","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4806741","4960706","5121984","5290801","5468248","5655486","5838598","6033482","6240408","6459622","6691044","6917424","7158186","7414108","7685303","7971743","8257189","8560730","8879695","9211974","9556361","9898462","10252532","10621492","11004723","11402381","11804734","12223456","12659938","13116712","13415460",
"阿尔巴尼亚","ALB","劳动力，总数","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1372760","1425546","1430507","1402132","1377915","1346025","1331220","1351935","1335443","1313894","1303495","1289947","1292501","1279039","1264823","1248964","1232873","1213497","1192757","1236994","1246913","1367478","1312423","1216267","1246721","1300316","1345277","1367557","1399364","1421853","1357322",
"安道尔共和国","AND","劳动力，总数","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"阿拉伯联盟国家","ARB","劳动力，总数","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","60854058","62826504","64195987","66700847","69228120","71874987","73807051","75747060","77608512","80510807","82317116","83835256","85129972","88108274","91235773","94564987","98204587","101811217","104906526","108039366","112368462","115087534","118470958","121788457","124020056","126356221","128930502","130003951","131676748","134425264","133947057",
"阿拉伯联合酋长国","ARE","劳动力，总数","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","935270","1006732","1081707","1162427","1240291","1318509","1397900","1483687","1573119","1666634","1769333","1924676","2083897","2274677","2538772","2903680","3441127","4085185","4762752","5376864","5861104","6135877","6279857","6329460","6347513","6384978","6457163","6551369","6513809","6598173","6376718",
"阿根廷","ARG","劳动力，总数","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13341229","13748534","14153378","14583787","14955812","15079252","15433978","15859936","16168747","16262854","16436817","16504173","16336016","16799186","17277472","17396830","17709282","17752637","17796615","18144303","18158593","18563047","18728448","18849614","18928695","19106351","19274835","19446034","19952439","20429749","19208592",
