"Data Source","世界发展指标",

"Last Updated Date","2022-02-15",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"阿鲁巴","ABW","高科技出口（现价美元）","TX.VAL.TECH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1082577","703388","1269221","3656986","1702027","2236381","1265878","1255854","2011640","2562959","1655305","1788368",
"","AFE","高科技出口（现价美元）","TX.VAL.TECH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3022798786","3105385453","3261509754","3058025684","2600999192","2624922456","2208025839","2066160265",
"阿富汗","AFG","高科技出口（现价美元）","TX.VAL.TECH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","",
"","AFW","高科技出口（现价美元）","TX.VAL.TECH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","289290420","","287076498","","",
"安哥拉","AGO","高科技出口（现价美元）","TX.VAL.TECH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","102003481","101140549","90107053","67484792","77770742","",
"阿尔巴尼亚","ALB","高科技出口（现价美元）","TX.VAL.TECH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10128935","14074208","11890517","10014580","10843586","1960836","16607486","10199913","1119016","591717","1753203","5055767",
"安道尔共和国","AND","高科技出口（现价美元）","TX.VAL.TECH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","33424896","17935435","10402350","19545650","18990187","19714197","21595662","18015814","17999514","21706225","24235417","33913480","","",
"阿拉伯联盟国家","ARB","高科技出口（现价美元）","TX.VAL.TECH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3190926095","3214140353","2709448295","2819082502","","","",
"阿拉伯联合酋长国","ARE","高科技出口（现价美元）","TX.VAL.TECH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","211033637","","","","493096465","401347805","1465448294","903527438","484009152","501063851","676194664.999999","637938263","1155953992",
"阿根廷","ARG","高科技出口（现价美元）","TX.VAL.TECH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1202087336","2014770921","1607438720","1686223636","1926288778","1654528397","1791005947","1509995219","1475175646","1333425805","1487360162","647172436","561915854","546445776",
"亚美尼亚","ARM","高科技出口（现价美元）","TX.VAL.TECH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5195605","7247588","5130103","4727601","7448895","7581094.99999999","9332592","9307631","11860132","21845447","28235640","36293329","45646416","28749973",
"美属萨摩亚","ASM","高科技出口（现价美元）","TX.VAL.TECH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"安提瓜和巴布达","ATG","高科技出口（现价美元）","TX.VAL.TECH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","161.999999999978","3182.99999999999","11437","0","",
"澳大利亚","AUS","高科技出口（现价美元）","TX.VAL.TECH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3856932148","4467054973","3840218902","4554403979","5598902113","5466439335","5341235827","5455317570","5089628319","5375124781","4795536505","5231519632","6347419691","5597904784",
"奥地利","AUT","高科技出口（现价美元）","TX.VAL.TECH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16729299038","17672518891","14164719555","15801880396","17846667868","18475488592","20792974032","21648209086","18084508467","17333740719","17021302030","16673587545","15959507332","15986052319",
"阿塞拜疆","AZE","高科技出口（现价美元）","TX.VAL.TECH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16910321","7425965","4537422","7200494","10332315","45373920","73389339","33923114","13926421","11727294","14069403","21177989","27996627","33914974",
"布隆迪","BDI","高科技出口（现价美元）","TX.VAL.TECH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","51849","392605","762345","600998","224837","2019594","224575","37511",
"比利时","BEL","高科技出口（现价美元）","TX.VAL.TECH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","28337950660","31661467569","32164705090","18056971678","19708635994","18575748639","23017332026","26766121596","22551602320","27174311007","25234291567","28164337255","33078387295","34420442274",
"贝宁","BEN","高科技出口（现价美元）","TX.VAL.TECH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","569796","3987990.00000001","1561772","579607","4003045","1408703","1203811","2051159",
"布基纳法索","BFA","高科技出口（现价美元）","TX.VAL.TECH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","374996","2902764","3163722","11006441","14219334","13834481","5736310","6875574","5267965","6531273","34864593","4121020",
"孟加拉国","BGD","高科技出口（现价美元）","TX.VAL.TECH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","62063719","44115902","37560243","43974253","105405034","68647409","","93607707","","","","","",
"保加利亚","BGR","高科技出口（现价美元）","TX.VAL.TECH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","648356798","803398293","754425645","852616282","1061806117","1020743882","1174075210","1154679851","1185637807","1366703891","1681800457","2011478915","2098844365","2153930561",
"巴林","BHR","高科技出口（现价美元）","TX.VAL.TECH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","310481.999999996","964226.000000002","1619723","7237732.00000002","18922398","47086504","22835703.9999999","21521244","14797114","11790575","171028631","",
"巴哈马","BHS","高科技出口（现价美元）","TX.VAL.TECH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","76.0000000000218","3453.99999999972","0","0","0","0","0","5691434","23398743","6222843","","",
"波斯尼亚和黑塞哥维那","BIH","高科技出口（现价美元）","TX.VAL.TECH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","139413476","83124313","74424233","106561115","80755222","82099574","93751570","98638475","96206575","236663998","261342666","253428420","212050898",
"白俄罗斯","BLR","高科技出口（现价美元）","TX.VAL.TECH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","417137400","318947500","407448900","514192800","635599600","795012500","693012600","577131800","625544800","687597700","716800300","756847200","801645500",
"伯利兹","BLZ","高科技出口（现价美元）","TX.VAL.TECH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","265036","0","0","0","0","0","9.99999999930878","6270.00000000044","0","64217",
"百慕大","BMU","高科技出口（现价美元）","TX.VAL.TECH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","830077","2667623","2564052","1028795","1280911","1136949","2939781","1569638","869523",
"玻利维亚","BOL","高科技出口（现价美元）","TX.VAL.TECH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15413394","17442781","14815977","37069953","48204672","52913603","44104414","33146949","24935819","15511283","19397572","19560045","14175219","13485139",
"巴西","BRA","高科技出口（现价美元）","TX.VAL.TECH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9536332657","10794671827","8460823205","8821366135","9144341075","9470908412","9066226970","8794610244","9433008423","10375405701","10715074538","11062943562","9391878571","5944927280",
"巴巴多斯","BRB","高科技出口（现价美元）","TX.VAL.TECH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29762994","25313814",
"文莱达鲁萨兰国","BRN","高科技出口（现价美元）","TX.VAL.TECH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","45458707","108137935","111996858","70719219","56850708","61144896","79866870","75587694","159191924","115050.999999999","47339565","15965134",
"不丹","BTN","高科技出口（现价美元）","TX.VAL.TECH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1941520","9525","439945","394616","272","58575","","","","","","","","",
"博茨瓦纳","BWA","高科技出口（现价美元）","TX.VAL.TECH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","26072351","18356858","37475913","28743102","52657763","38519418","19399628","16238757",
"中非共和国","CAF","高科技出口（现价美元）","TX.VAL.TECH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","632110","1394","134458","10012","","4091308","6613251","35462285","8173212","","",
"加拿大","CAN","高科技出口（现价美元）","TX.VAL.TECH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30526426689","30127811631","25642281070","26566354256","27498833097","33106176365","32177505990","28785443008","28241567804","26201901365","26937506029","30479680630","31930126164","25521895733",
